tau_sat,b,tau_0,gamma_0,n,cd,beta,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20
1.0,0.1,350.0,3.333e-05,3.0,800.0,5.0,0.7,-2.6045e-14,1310.9,1322.0,1324.5,1327.2,1329.9,1332.2,1333.7,1333.7,1330.4,1320.8,1300.4,1263.9,1209.0,1139.4,1063.1,984.51,903.73,825.79,755.33
1.0,0.1,350.0,3.333e-05,3.0,1000.0,5.0,0.865,3.5253e-15,1312.6,1323.3,1326.5,1329.9,1333.1,1336.1,1338.4,1339.2,1337.1,1329.8,1313.4,1283.1,1235.5,1172.0,1098.2,1019.7,939.54,863.68,797.72
1.0,0.1,350.0,3.333e-05,4.0,200.0,5.0,0.135,-1.1457e-14,959.03,1190.5,1240.2,1252.2,1255.9,1257.3,1258.1,1258.5,1258.6,1258.2,1256.9,1254.0,1248.3,1237.9,1220.4,1192.7,1153.1,1103.7,1050.1
1.0,0.1,350.0,3.333e-05,4.0,400.0,5.0,0.305,5.2879e-15,1210.9,1254.5,1258.1,1259.4,1260.5,1261.6,1262.5,1263.0,1262.6,1260.7,1255.7,1245.6,1227.2,1197.0,1153.7,1099.8,1040.4,979.64,920.8
1.0,0.1,350.0,3.333e-05,4.0,600.0,5.0,0.465,-5.9611e-15,1247.1,1258.2,1260.1,1261.9,1263.7,1265.4,1267.0,1268.0,1268.2,1266.6,1261.5,1251.0,1231.7,1200.6,1156.5,1101.9,1041.3,977.98,912.57
1.0,0.1,350.0,3.333e-05,4.0,800.0,5.0,0.705,1.2154e-14,1249.8,1260.5,1262.9,1265.7,1268.5,1271.2,1273.4,1274.4,1273.0,1267.1,1253.5,1227.9,1186.6,1129.9,1062.5,989.31,913.49,841.36,778.58
1.0,0.1,350.0,3.333e-05,4.0,1000.0,5.0,0.88,8.7311e-16,1250.4,1261.9,1265.0,1268.7,1272.3,1275.8,1278.8,1280.6,1280.2,1275.9,1265.1,1243.7,1207.9,1156.6,1092.0,1018.5,941.02,868.93,807.36
1.0,0.1,350.0,3.333e-05,5.0,200.0,5.0,0.14,-1.9389e-14,982.94,1174.9,1208.8,1216.2,1218.5,1219.5,1220.1,1220.5,1220.5,1220.0,1218.4,1215.1,1208.7,1197.2,1178.0,1148.4,1107.9,1059.4,1008.0
1.0,0.1,350.0,3.333e-05,5.0,400.0,5.0,0.305,-7.9319e-15,1185.6,1217.2,1220.0,1221.2,1222.4,1223.5,1224.5,1225.1,1225.2,1223.9,1220.4,1212.8,1198.6,1174.8,1139.3,1092.8,1038.7,980.84,922.04
1.0,0.1,350.0,3.333e-05,5.0,600.0,5.0,0.485,-8.5158e-16,1213.9,1220.4,1222.1,1224.1,1226.0,1228.0,1229.8,1231.2,1231.6,1229.9,1224.8,1213.9,1194.1,1162.2,1117.6,1062.6,1001.0,935.77,868.24
1.0,0.1,350.0,3.333e-05,5.0,800.0,5.0,0.695,-1.8231e-14,1209.7,1222.1,1224.7,1227.6,1230.8,1233.8,1236.5,1238.3,1238.5,1235.7,1227.7,1211.1,1182.4,1139.0,1082.5,1016.3,943.91,870.9,807.15
1.0,0.1,350.0,3.333e-05,5.0,1000.0,5.0,0.885,9.5169e-14,1212.8,1223.8,1227.1,1231.2,1235.2,1239.3,1242.7,1245.2,1246.1,1243.9,1236.7,1221.2,1193.6,1151.3,1094.3,1025.1,948.34,874.66,814.2
1.0,0.1,450.0,3.333e-05,1.0,200.0,5.0,0.085,-8.8132e-15,626.09,1065.4,1379.3,1608.2,1776.8,1902.1,1995.7,2066.1,2119.0,2158.9,2188.9,2211.2,2227.6,2239.0,2245.5,2246.6,2240.9,2224.4,2190.4
1.0,0.1,450.0,3.333e-05,1.0,400.0,5.0,0.16,-1.4982e-14,1021.3,1560.5,1861.8,2035.4,2136.3,2196.0,2231.3,2252.2,2264.5,2271.5,2275.2,2276.1,2274.9,2270.8,2262.5,2247.4,2221.5,2179.1,2113.3
1.0,0.1,450.0,3.333e-05,1.0,600.0,5.0,0.245,-2.3796e-14,1347.3,1875.5,2101.8,2202.0,2246.6,2266.7,2275.6,2279.5,2281.0,2280.7,2279.4,2276.6,2270.8,2260.2,2241.8,2210.8,2161.1,2086.7,1988.2
1.0,0.1,450.0,3.333e-05,1.0,800.0,5.0,0.33,1.6745e-14,1585.4,2051.4,2204.7,2256.4,2274.0,2279.9,2281.9,2282.3,2282.0,2280.8,2278.3,2273.6,2264.9,2249.6,2223.5,2180.9,2115.6,2023.4,1910.2
1.0,0.1,450.0,3.333e-05,1.0,1000.0,5.0,0.43,-5.1947e-14,1785.1,2163.1,2253.7,2275.6,2280.9,2282.4,2282.7,2282.4,2281.2,2279.2,2275.0,2267.0,2252.4,2226.8,2184.0,2117.3,2022.0,1902.1,1775.5
1.0,0.1,450.0,3.333e-05,2.0,200.0,5.0,0.09,-3.9659e-14,764.15,1226.7,1491.4,1641.2,1726.7,1775.8,1804.3,1821.0,1830.9,1836.7,1840.0,1841.6,1841.6,1839.8,1835.3,1826.8,1811.6,1785.7,1743.0
1.0,0.1,450.0,3.333e-05,2.0,400.0,5.0,0.185,-1.9389e-14,1245.7,1653.2,1781.6,1823.7,1838.3,1843.8,1846.4,1847.8,1848.5,1848.8,1848.2,1846.4,1842.3,1834.5,1820.5,1797.0,1759.9,1705.2,1633.1
