tau_sat,b,tau_0,gamma_0,n,cd,beta,phi,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10
1.0,0.1,150.0,3.333e-05,3.0,200.0,5.0,3,2.1283,2.1181,2.1088,2.0988,2.0901,2.0856,2.088,2.0974,2.1096,2.1142
1.0,0.1,150.0,3.333e-05,3.0,400.0,5.0,1,5.9671,5.9199,5.8733,5.8265,5.7878,5.7681,5.7754,5.8085,5.8511,5.8658
1.0,0.1,150.0,3.333e-05,3.0,400.0,5.0,2,2.0534,2.0491,2.0448,2.0393,2.0349,2.0347,2.0414,2.0543,2.0676,2.0684
1.0,0.1,150.0,3.333e-05,3.0,400.0,5.0,3,2.1285,2.1077,2.0892,2.0716,2.0584,2.0542,2.0624,2.082,2.1044,2.111
1.0,0.1,150.0,3.333e-05,3.0,600.0,5.0,1,5.9688,5.9062,5.8487,5.7951,5.7482,5.7138,5.698,5.7058,5.7392,5.7951
1.0,0.1,150.0,3.333e-05,3.0,600.0,5.0,2,2.0538,2.0477,2.0421,2.0357,2.0294,2.0252,2.0255,2.0319,2.0447,2.0615
1.0,0.1,150.0,3.333e-05,3.0,600.0,5.0,3,2.1291,2.1021,2.0798,2.0607,2.0455,2.0359,2.0342,2.0423,2.0613,2.0902
1.0,0.1,150.0,3.333e-05,3.0,800.0,5.0,1,5.9664,5.9073,5.8481,5.7941,5.748,5.7108,5.6824,5.6629,5.6531,5.6555
1.0,0.1,150.0,3.333e-05,3.0,800.0,5.0,2,2.053,2.0481,2.0419,2.0354,2.0294,2.0243,2.0206,2.0187,2.0192,2.0229
1.0,0.1,150.0,3.333e-05,3.0,800.0,5.0,3,2.128,2.1025,2.0795,2.0603,2.0454,2.0345,2.0273,2.0234,2.0231,2.0278
1.0,0.1,150.0,3.333e-05,3.0,1000.0,5.0,1,5.9664,5.9072,5.8481,5.7941,5.7479,5.7102,5.6806,5.6581,5.6417,5.6308
1.0,0.1,150.0,3.333e-05,3.0,1000.0,5.0,2,2.053,2.0481,2.0419,2.0354,2.0293,2.0241,2.02,2.0171,2.0154,2.0149
1.0,0.1,150.0,3.333e-05,3.0,1000.0,5.0,3,2.1281,2.1026,2.0795,2.0603,2.0454,2.0344,2.0266,2.0214,2.0182,2.0172
1.0,0.1,150.0,3.333e-05,4.0,200.0,5.0,1,5.9672,5.9387,5.9108,5.8812,5.8546,5.8387,5.8399,5.8589,5.8866,5.8999
1.0,0.1,150.0,3.333e-05,4.0,200.0,5.0,2,2.0534,2.0512,2.0495,2.0469,2.0445,2.0446,2.0489,2.0578,2.0691,2.0764
1.0,0.1,150.0,3.333e-05,4.0,200.0,5.0,3,2.1284,2.1146,2.1016,2.0884,2.0773,2.0719,2.0752,2.0873,2.1038,2.1134
1.0,0.1,150.0,3.333e-05,4.0,400.0,5.0,1,5.9681,5.9074,5.8502,5.7973,5.7564,5.7373,5.7473,5.7859,5.8406,5.8815
1.0,0.1,150.0,3.333e-05,4.0,400.0,5.0,2,2.0538,2.0488,2.0443,2.0385,2.0339,2.0343,2.0424,2.0579,2.0745,2.078
1.0,0.1,150.0,3.333e-05,4.0,400.0,5.0,3,2.1294,2.0998,2.0756,2.0554,2.0415,2.038,2.0478,2.0702,2.0983,2.1165
1.0,0.1,150.0,3.333e-05,4.0,600.0,5.0,1,5.9685,5.8925,5.8237,5.7658,5.7208,5.69,5.675,5.6784,5.7052,5.7629
1.0,0.1,150.0,3.333e-05,4.0,600.0,5.0,2,2.0534,2.0477,2.0413,2.0348,2.0292,2.0259,2.0264,2.032,2.0438,2.0625
1.0,0.1,150.0,3.333e-05,4.0,600.0,5.0,3,2.1294,2.0933,2.0652,2.0445,2.0305,2.0229,2.0217,2.028,2.0442,2.0744
1.0,0.1,150.0,3.333e-05,4.0,800.0,5.0,1,5.9674,5.893,5.8234,5.7652,5.7202,5.687,5.6631,5.6462,5.6365,5.6379
1.0,0.1,150.0,3.333e-05,4.0,800.0,5.0,2,2.053,2.048,2.0412,2.0346,2.0291,2.0251,2.0225,2.0215,2.0222,2.0254
1.0,0.1,150.0,3.333e-05,4.0,800.0,5.0,3,2.1289,2.0935,2.065,2.0442,2.0303,2.0216,2.0165,2.0138,2.0137,2.0182
1.0,0.1,150.0,3.333e-05,4.0,1000.0,5.0,1,5.9675,5.8931,5.8235,5.7653,5.7201,5.6866,5.6617,5.6427,5.6281,5.6202
1.0,0.1,150.0,3.333e-05,4.0,1000.0,5.0,2,2.053,2.048,2.0412,2.0346,2.0291,2.0249,2.022,2.0202,2.0193,2.0194
1.0,0.1,150.0,3.333e-05,4.0,1000.0,5.0,3,2.1289,2.0935,2.065,2.0442,2.0302,2.0213,2.0158,2.0122,2.01,2.0104
1.0,0.1,150.0,3.333e-05,5.0,200.0,5.0,1,5.9673,5.9366,5.9066,5.8752,5.8468,5.8284,5.8268,5.8444,5.8758,5.9043
1.0,0.1,150.0,3.333e-05,5.0,200.0,5.0,2,2.0536,2.0514,2.0499,2.0476,2.0453,2.0451,2.049,2.0583,2.0716,2.0842
1.0,0.1,150.0,3.333e-05,5.0,200.0,5.0,3,2.1285,2.1128,2.098,2.0834,2.071,2.0642,2.0661,2.0776,2.096,2.1136
1.0,0.1,150.0,3.333e-05,5.0,400.0,5.0,1,5.9693,5.8984,5.8355,5.7809,5.7413,5.7255,5.7403,5.7863,5.8535,5.9171
1.0,0.1,150.0,3.333e-05,5.0,400.0,5.0,2,2.0542,2.0488,2.0445,2.039,2.0349,2.0363,2.0465,2.0646,2.0827,2.0832
1.0,0.1,150.0,3.333e-05,5.0,400.0,5.0,3,2.1303,2.0936,2.0665,2.0456,2.0326,2.0309,2.0433,2.0694,2.103,2.1293
1.0,0.1,150.0,3.333e-05,5.0,600.0,5.0,1,5.9694,5.8848,5.8124,5.7547,5.7116,5.6827,5.6678,5.669,5.6917,5.7462
1.0,0.1,150.0,3.333e-05,5.0,600.0,5.0,2,2.0533,2.0481,2.0419,2.0359,2.0311,2.0284,2.0291,2.0343,2.0454,2.0639
1.0,0.1,150.0,3.333e-05,5.0,600.0,5.0,3,2.13,2.0876,2.0572,2.0366,2.0238,2.0172,2.0162,2.0217,2.0364,2.0653
1.0,0.1,150.0,3.333e-05,5.0,800.0,5.0,1,5.9687,5.8852,5.8123,5.7543,5.711,5.6799,5.6575,5.6412,5.6312,5.632
1.0,0.1,150.0,3.333e-05,5.0,800.0,5.0,2,2.053,2.0483,2.0419,2.0358,2.0309,2.0276,2.0257,2.025,2.0258,2.0288
